run,Coin Price,tick
Uniform,97.56310682,428
Uniform,99.54964627,429
Uniform,100.095336,430
Uniform,100.01686,431
Uniform,104.9343999,432
Uniform,109.4814425,433
Uniform,109.1178521,434
Uniform,108.0749421,435
Uniform,106.9882463,436
Uniform,106.496794,437
Uniform,102.7358619,438
Uniform,100.585635,439
Uniform,102.1925023,440
Uniform,99.32151257,441
Uniform,98.40365697,442
Uniform,100.0428069,443
Uniform,102.5568358,444
Uniform,98.91046071,445
Uniform,97.23785005,446
Uniform,96.84908247,447
Uniform,94.81195923,448
Uniform,95.97357688,449
Uniform,93.3451115,450
Uniform,90.95338482,451
Uniform,91.39549636,452
Uniform,88.69778519,453
Uniform,90.10113814,454
Uniform,92.18591364,455
Uniform,91.47747302,456
Uniform,91.30425412,457
Uniform,89.9120391,458
Uniform,91.98813875,459
Uniform,91.93103036,460
Uniform,95.82663856,461
Uniform,98.64168303,462
Uniform,98.31744712,463
Uniform,103.0050438,464
Uniform,106.5257714,465
Uniform,110.6585292,466
Uniform,109.0698952,467
Uniform,111.9535606,468
Uniform,113.4317619,469
Uniform,115.501734,470
Uniform,115.5819998,471
Uniform,114.0214692,472
Uniform,119.3441787,473
Uniform,117.509957,474
Uniform,118.9907162,475
Uniform,117.8416804,476
Uniform,113.7867069,477
Uniform,112.771831,478
Uniform,115.7212556,479
Uniform,117.2390623,480
Uniform,115.6038083,481
Uniform,112.3879018,482
Uniform,117.6937842,483
Uniform,117.6587369,484
Uniform,116.5058837,485
Uniform,117.0073993,486
Uniform,112.8945116,487
Uniform,113.8581394,488
Uniform,111.415961,489
Uniform,112.7808117,490
Uniform,109.5796677,491
Uniform,112.960763,492
Uniform,115.9526215,493
Uniform,112.0342283,494
Uniform,106.5361062,495
Uniform,106.0141809,496
Uniform,106.9992284,497
Uniform,107.4064173,498
Uniform,109.9481243,499
Uniform,105.0184204,500
Normal,261.3441318,1
Normal,615.5057519,2
Normal,-658.5215677,3
VonMises,206.3032991,1
VonMises,2.485313158,2
VonMises,0.987113982,3
Poisson,300,1
Poisson,0,2
